Food and Serving,Calories,Calories from Fat,Total Fat(g),Total Fat.1(%DV),Sodium(g),Sodium.1(%DV),Potassium(g),Potassium.1(%DV),Total Carbo-hydrate(g),Total Carbo-hydrate.1(%DV),Dietary Fiber(g),Dietary Fiber.1(%DV),Sugars(g),Protein(g),Vitamin A(%DV),Vitamin C(%DV),Calcium(%DV),  Iron  (%DV),Saturated Fat(%DV),Saturated Fat.1(mg) ,Chole-sterol(%DV),Chole-sterol.1(mg) ,Food Type
"Asparagus, 5 spears (93 g/3.3 oz)",20.0,0.0,0.0,0.0,0.0,0.0,230.0,7.0,4.0,1.0,2.0,8.0,2.0,2.0,10.0,15.0,2.0,2.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Bell Pepper, 1 medium (148 g/5.3 oz)",25.0,0.0,0.0,0.0,40.0,2.0,220.0,6.0,6.0,2.0,2.0,8.0,4.0,1.0,4.0,190.0,2.0,4.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Broccoli, 1 medium stalk (148 g/5.3 oz)",45.0,0.0,0.5,1.0,80.0,3.0,460.0,13.0,8.0,3.0,3.0,12.0,2.0,4.0,6.0,220.0,6.0,6.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Carrot, 1 carrot, 7"" long, 1 1/4"" diameter (78 g/2.8 oz)",30.0,0.0,0.0,0.0,60.0,3.0,250.0,7.0,7.0,2.0,2.0,8.0,5.0,1.0,110.0,10.0,2.0,2.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Cauliflower, 1/6 medium head (99 g/3.5 oz)",25.0,0.0,0.0,0.0,30.0,1.0,270.0,8.0,5.0,2.0,2.0,8.0,2.0,2.0,0.0,100.0,2.0,2.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Celery, 2 medium stalks (110 g/3.9 oz)",15.0,0.0,0.0,0.0,115.0,5.0,260.0,7.0,4.0,1.0,2.0,8.0,2.0,0.0,10.0,15.0,4.0,2.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Cucumber, 1/3 medium (99 g/3.5 oz)",10.0,0.0,0.0,0.0,0.0,0.0,140.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,10.0,2.0,2.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Green (Snap) Beans, 3/4 cup cut (83 g/3.0 oz)",20.0,0.0,0.0,0.0,0.0,0.0,200.0,6.0,5.0,2.0,3.0,12.0,2.0,1.0,4.0,10.0,4.0,2.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Green Cabbage, 1/12 medium head (84 g/3.0 oz)",25.0,0.0,0.0,0.0,20.0,1.0,190.0,5.0,5.0,2.0,2.0,8.0,3.0,1.0,0.0,70.0,4.0,2.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Green Onion, 1/4 cup chopped (25 g/0.9 oz)",10.0,0.0,0.0,0.0,10.0,0.0,70.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,8.0,2.0,2.0,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
